Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	upper lid raiser	lid tightener	head up/down	head forward/back	head left/right	head tilt left/right	torso forward/back	torso left/right	torso up/down	torso tilt left/right	brow raise	closed eyes	brow lowerer	head nod	TORSO UP/DOWN FUNCTIONS M	TORSO FORWARD/BACK FUNCTIONS M	TORSO LEFT/RIGHT FUNCTIONS M	TORSO TILT left/right FUNCTIONS M	HEAD NOD FUNCTIONS M	HEAD UP/DOWN FUNCTIONS M	HEAD FORWARD/BACK FUNCTIONS M	HEAD LEFT/RIGHT FUNCTIONS M	HEAD TILT LEFT/RIGHT FUNCTIONS M	BROW RAISE FUNCTIONS M	BROW LOWERER FUNCTIONS M	CLOSED EYES FUNCTIONS M	UPPER LID RAISER FUNCTIONS M	LID TIGHTENER FUNCTIONS M	
00:01:48.321	108.321	00:01:54.721	114.721	00:00:06.400	6.4						right																	CONTRAST					
00:01:54.733	114.733	00:01:55.373	115.373	00:00:00.640	0.64					left	left																AGREEMENT WITH SPACE+ COGNITIVE	AGREEMENT WITH SPACE					
00:01:55.397	115.397	00:01:56.637	116.637	00:00:01.240	1.24					left	right					c											AGREEMENT WITH SPACE+ COGNITIVE	NF	TOPIC 				
00:01:56.662	116.662	00:01:57.062	117.062	00:00:00.400	0.4					left	left			up						EMPHASIS							AGREEMENT WITH SPACE+ COGNITIVE	TOPIC					
00:01:57.392	117.392	00:02:03.440	123.44	00:00:06.048	6.048						left																	coordination/contrast					
00:02:03.459	123.459	00:02:06.728	126.728	00:00:03.269	3.269						right																	coordination/contrast					
00:02:06.748	126.748	00:02:07.268	127.268	00:00:00.520	0.52						left																	NF					
00:02:08.307	128.307	00:02:08.827	128.827	00:00:00.520	0.52						left																	AGREEMENT WITH SPACE					
00:02:08.846	128.846	00:02:09.246	129.246	00:00:00.400	0.4					left	right																NF	NF					
00:02:10.234	130.234	00:02:11.754	131.754	00:00:01.520	1.52						right																	coordination/contrast					
00:02:11.773	131.773	00:02:11.973	131.973	00:00:00.200	0.2						left		right									NF						EASE OF PRODUCTION					
00:02:13.293	133.293	00:02:19.322	139.322	00:00:06.029	6.029						left																	coordination/contrast					
00:02:19.346	139.346	00:02:26.317	146.317	00:00:06.971	6.971						right																	coordination/contrast					
00:02:26.326	146.326	00:02:26.886	146.886	00:00:00.560	0.56			down			right x		left									AGREEMENT WITH SPACE			IP BOUNDARY end			COGNITIVE					
00:02:26.908	146.908	00:02:38.006	158.006	00:00:11.098	11.098						left																	coordination/contrast					
00:02:43.523	163.523	00:02:44.683	164.683	00:00:01.160	1.16						left																	CA					
00:02:44.709	164.709	00:02:45.109	165.109	00:00:00.400	0.4						right																	CA					
00:00:46.425	46.425	00:00:46.665	46.665	00:00:00.240	0.24					right	right	forward									EMPHASIS?						CONTRAST	EMPHASIS+CONTRAST					
00:00:46.688	46.688	00:00:47.128	47.128	00:00:00.440	0.44					right	right	back									NF						CONTRAST	EMPHASIS+CONTRAST					
00:00:47.984	47.984	00:00:48.184	48.184	00:00:00.200	0.2			up		left	left	forward	left			c		c			PP BREAK	EASE OF PRODUCTION/CONTRAST			NF		CONTRAST	CONTRAST	GESTURAL	AFFECTIVE			
00:00:48.204	48.204	00:00:48.444	48.444	00:00:00.240	0.24					left	left	back	left			c		c			NF	EASE OF PRODUCTION/CONTRAST					CONTRAST	CONTRAST	GESTURAL	AFFECTIVE			
00:01:00.736	60.736	00:01:10.573	70.573	00:00:09.837	9.837							forward									COORDINATION												
00:01:10.587	70.587	00:01:11.452	71.452	00:00:00.865	0.865							back									COORDINATION												
00:01:11.455	71.455	00:01:12.175	72.175	00:00:00.720	0.72							forward x									EMPHASIS												
00:01:12.199	72.199	00:01:12.824	72.824	00:00:00.625	0.625							forward									EMPHASIS												
00:01:12.844	72.844	00:01:13.796	73.796	00:00:00.952	0.952			up			right	back									EMPHASIS				TOPIC			AGREEMENT WITH SPACE					
00:01:14.137	74.137	00:01:15.373	75.373	00:00:01.236	1.236							forward									MANNER												
00:01:15.390	75.39	00:01:15.790	75.79	00:00:00.400	0.4						left	back							hs		NF			NEGATION				RS					
00:01:15.812	75.812	00:01:16.532	76.532	00:00:00.720	0.72						left	forward				b					LISTING							RS	CA				
00:01:16.557	76.557	00:01:17.277	77.277	00:00:00.720	0.72						left	back				b					NF							RS	CA				
00:01:17.293	77.293	00:01:17.613	77.613	00:00:00.320	0.32						left	forward				b					LISTING							RS	CA				
00:01:17.627	77.627	00:01:18.907	78.907	00:00:01.280	1.28							back									NF												
00:01:21.624	81.624	00:01:22.104	82.104	00:00:00.480	0.48							forward						b			BREAK									EMPHASIS			
00:01:22.124	82.124	00:01:22.564	82.564	00:00:00.440	0.44							back		up						GESTURAL	NF												
00:01:29.828	89.828	00:01:30.433	90.433	00:00:00.605	0.605						left	forward						c			TOPIC							AGREEMENT WITH SPACE		CONTRAST			
00:01:30.447	90.447	00:01:31.034	91.034	00:00:00.587	0.587							back						c			COMMENT									CONTRAST			
00:01:49.835	109.835	00:01:50.172	110.172	00:00:00.337	0.337					right	right	forward				c					LISTING						AGREEMENT WITH SPACE + CONTRAST	CONTRAST	EMPHASIS				
00:01:50.186	110.186	00:01:50.561	110.561	00:00:00.375	0.375			up		right	right	back				c					NF				NF		AGREEMENT WITH SPACE + CONTRAST	CONTRAST	EMPHASIS				
00:01:50.642	110.642	00:01:51.162	111.162	00:00:00.520	0.52					right	right	forward				c					LISTING						AGREEMENT WITH SPACE + CONTRAST	CONTRAST	EMPHASIS				
00:01:51.181	111.181	00:01:51.527	111.527	00:00:00.346	0.346					right	right	back				c					NF						AGREEMENT WITH SPACE + CONTRAST	CONTRAST	EMPHASIS				
00:02:04.691	124.691	00:02:05.219	125.219	00:00:00.528	0.528						right	forward			right						EMPHASIS		TEMPORAL???					coordination/contrast					
